,noise_loss,reconstruction_loss
0,0.529762327671051,19.532485961914062
1,0.10930075496435165,1.1116750240325928
2,0.08446023613214493,0.9899904727935791
3,0.08443023264408112,0.635703980922699
4,0.07781698554754257,0.6291350722312927
5,0.0749305933713913,0.5737808346748352
6,0.07286658138036728,0.7230778336524963
7,0.0749870091676712,0.5884517431259155
8,0.07118183374404907,0.4137475788593292
9,0.07002542912960052,0.4276612401008606
10,0.06723786890506744,0.3291434049606323
11,0.06179910898208618,0.30746832489967346
12,0.0634365975856781,0.3110186755657196
13,0.059945765882730484,0.3099708557128906
14,0.0632006898522377,0.277887761592865
15,0.06078222766518593,0.3253542184829712
16,0.05901794135570526,0.3000149726867676
17,0.05883469060063362,0.27419936656951904
18,0.06014617159962654,0.2711958885192871
19,0.05683324486017227,0.25104618072509766
20,0.05800070986151695,0.23499733209609985
21,0.05607036128640175,0.218019500374794
22,0.0559166856110096,0.3307231068611145
23,0.055932726711034775,0.21855700016021729
24,0.052377849817276,0.24040457606315613
25,0.05319514498114586,0.17631831765174866
26,0.055252064019441605,0.18473578989505768
27,0.05402553826570511,0.2007298618555069
28,0.05224711447954178,0.17116418480873108
29,0.052597008645534515,0.21391427516937256
30,0.05676461383700371,0.17587018013000488
31,0.05240171402692795,0.19947518408298492
32,0.05129513517022133,0.1728529930114746
33,0.05330679193139076,0.18831561505794525
34,0.051045339554548264,0.19542942941188812
35,0.05427931249141693,0.1380418837070465
36,0.050385329872369766,0.14766857028007507
37,0.05451343208551407,0.159939706325531
38,0.0519615039229393,0.15289306640625
39,0.051646292209625244,0.18867230415344238
40,0.05238260328769684,0.1502026468515396
41,0.0497300885617733,0.16036728024482727
42,0.05264861136674881,0.15304666757583618
43,0.04884821176528931,0.12934188544750214
44,0.04968367516994476,0.14803928136825562
45,0.050749123096466064,0.13540643453598022
46,0.05306219682097435,0.18514741957187653
47,0.053003810346126556,0.1676376760005951
48,0.054651979357004166,0.15682221949100494
49,0.05207493528723717,0.15035755932331085
